year,95F,100F,105F
1948,3.8869280148559557,0.24884436067367555,0.0
1949,1.754804845461932,0.027853972193114744,0.0
1950,1.3083041545117042,0.01490737422732155,0.0
1951,5.475511438686293,0.6878066515496873,0.0
1952,9.05272471968057,1.0440534848397056,0.0
1953,7.783692447725643,0.4619263602092775,0.00450927060924492
1954,14.361516044900986,2.741102397048787,0.37717586439933076
1955,3.069716328315328,0.07354727247467194,0.0
1956,6.93532177484806,0.8563947785649483,0.03176142889352463
1957,3.643872715121122,0.06733453343280515,0.0
1958,2.1874554993009556,0.037296407614974846,0.0
1959,1.1885790197136887,0.024373746260485295,0.0
1960,2.647097521612723,0.03095992181511925,0.0
1961,0.7121848471430449,0.0,0.0
1962,4.25726251901833,0.3186000249409729,0.011537478605909245
1963,4.783145150940692,0.14432598090654852,0.0
1964,4.505037052055583,0.5994210810433837,0.00225463530462246
1965,1.5888334505096875,0.0034301361943560975,0.0
1966,3.7631640874895504,0.22560569497452884,0.0
1967,1.3195245096088166,0.026375601310386135,0.0
1968,1.6486754844458626,0.044370599872508666,0.0
1969,4.938852635517627,0.3505879369836187,0.0
1970,3.6278641123095454,0.11825022850310261,0.0
1971,1.9436482618931146,0.08899229224022757,0.0
1972,1.9209055230654628,0.03491515287653806,0.0
1973,0.8523910479545272,0.0,0.0
1974,2.6717705465718384,0.20900194145688938,0.0
1975,0.7613523424063889,0.0,0.0
1976,1.5274490170409587,0.00571852528548543,0.0
1977,5.106163215693575,0.1333288419179176,0.0
1978,5.726362838618073,0.30500520062273656,0.0
1979,1.2812077584503845,0.0,0.0
1980,13.831573078129423,3.1427784387955495,0.11761033815072333
1981,3.8138232587432577,0.08116331341521604,0.0
1982,2.199690315087292,0.05233163900071623,0.0
1983,6.909190182235399,0.37544228103191507,0.0
1984,2.4261017864813463,0.11883002479729869,0.0
1985,3.2566361751184574,0.09318524066877674,0.0
1986,4.208933274257169,0.7014243736484678,0.018236407591539674
1987,4.717274297107523,0.029051129228217704,0.0
1988,7.327168470704362,0.2358873199909177,0.0
1989,1.9276215962534444,0.018557691434444343,0.0
1990,6.230587896602973,0.13062476546501095,0.0
1991,2.9566933472593893,0.04164185134782933,0.0
1992,1.1662031961272588,0.007396755302607176,0.0
1993,5.0290216883211505,0.0798600119977951,0.0
1994,1.4816209339010542,0.06147015147700903,0.014139801608637394
1995,5.11320716178397,0.20582840340195158,0.0
1996,2.5135184542323703,0.1077227381143413,0.0
1997,2.8584365062819477,0.0265839329923167,0.0
1998,9.17119013548264,1.2903156192085776,0.028381892737184163
1999,6.9863161163469885,0.4482295744516954,0.0
2000,8.497297240935794,1.7072326917589276,0.10733917548881707
2001,4.10330908114696,0.17736261121030183,0.0
2002,3.406055523680088,0.05747505382867203,0.0
2003,3.2839936001739165,0.17972659499102073,0.0
2004,1.3221976335386867,0.004288893964114073,0.0
2005,5.294367318821833,0.16895325410898013,0.0
2006,8.02536080847851,0.6675516186745251,0.0
2007,5.121115289706079,0.8912778331454668,0.011557429988104585
2008,3.7865979418229703,0.16607502898837387,0.0
2009,4.438745498896012,0.5047807238512911,0.0
2010,7.584728457869676,0.561702308024683,0.0
2011,14.14541358474285,3.1601204769328866,0.2734344711560292
2012,11.497313563110806,2.5091643035457727,0.0852380171863326
2013,3.269414167482933,0.13327064097467498,0.0
2014,2.1411256697127685,0.005759270602798012,0.0
2015,4.558729335950754,0.21840040134015604,0.0
2016,4.734243726481417,0.019804929657383334,0.0
2017,2.542374481716864,0.0466977655452089,0.0
2018,4.193658566163574,0.27921417008309884,0.035322122698177624
2019,4.255187974490932,0.06212427398350965,0.0
2020,3.2634885845729436,0.23602324131566665,0.004704380217596727
2021,2.2245714454374235,0.02198703189906694,0.0
2022,8.279183120351915,0.9924202592930678,0.023326791479631827
2023,9.111947678243803,2.462804185399681,0.06203519254359416
2024,,,
