year,95F,100F,105F
1890,1.5486860681704657,0.0021642309301199204,0.0
1891,0.7417612813082951,0.0,0.0
1892,1.1456279743067972,0.0,0.0
1893,1.9162856321036472,0.0014296313213713575,0.0
1894,2.8515966550476346,0.27404215762271805,0.006107350583120872
1895,0.9839670351811856,0.0014296313213713575,0.0
1896,6.248791314438232,0.3610048823983186,0.0
1897,5.070751320395487,0.11895490380235489,0.0
1898,1.0814955233179144,0.022784308594652594,0.0
1899,3.7949577835061876,0.06177809579159699,0.0
1900,2.462872860238997,0.11733791396915454,0.0
1901,9.294201410948295,1.815759719221883,0.15425228691225965
1902,4.622165214654208,0.10971952627436603,0.0
1903,0.8302179374352763,0.0,0.0
1904,0.35008014279747224,0.0,0.0
1905,0.9228074523623336,0.004136158834754254,0.0
1906,0.835054905175678,0.020558945250477134,0.0
1907,2.636744184375429,0.07337429834353508,0.0
1908,0.8698912318713332,0.0,0.0
1909,2.912947203264988,0.33034458646015263,0.03488281349937643
1910,2.2472773293279755,0.17037172914203846,0.0
1911,6.397571959738028,0.7111099297054224,0.02176020516904746
1912,2.4332223446017824,0.0936285579388611,0.0
1913,7.0067486560804415,0.6520299985923598,0.0
1914,6.601300386714341,0.39177230977832345,0.0
1915,2.3706048386298697,0.017132948687733948,0.0
1916,3.3898981609062413,0.05760190895193196,0.0
1917,3.5405423557708726,0.2688405108423753,0.0
1918,8.075952917448316,1.002794514873028,0.020783134766177686
1919,1.7304378375132354,0.006934457992862751,0.0
1920,0.9171639486717078,0.0,0.0
1921,3.5996811267757183,0.02134910939299591,0.0
1922,2.907933387452954,0.12345838741780696,0.0
1923,2.508294489784836,0.2572076404357974,0.0
1924,5.263932498381567,0.31465656317333013,0.0014296313213713575
1925,8.282912260414793,0.9178625394947701,0.0
1926,3.228187955282409,0.21569484617537601,0.0
1927,2.0393492667759103,0.06781084729039949,0.0
1928,1.6941490811698343,0.04998886577090277,0.0
1929,2.2892622389164163,0.07276107054132831,0.0
1930,12.078213652304179,2.3601922958996804,0.1193964142237571
1931,6.315683864195643,0.2844803341853729,0.0
1932,4.464961928179045,0.24842421423061214,0.0014296313213713575
1933,5.477077432708627,0.607813007991566,0.004677719261749514
1934,14.271477395694502,4.488627895968873,0.5755478388258206
1935,4.515172228175361,0.6123957262067768,0.0
1936,16.892826160594915,5.72407909357474,1.0576530154289971
1937,5.147673789298223,0.5018535246898933,0.00450927060924492
1938,4.135903727527595,0.06836597206951688,0.0
1939,5.519054119532971,0.6116356079245597,0.01921227900045142
1940,3.617224826718434,0.33525065556169004,0.018867335901021326
1941,3.719452766779321,0.049632008755665424,0.0
1942,2.7840176104592103,0.09548320601161779,0.0
1943,7.0090467909507534,0.8378240167626396,0.006961831626116591
1944,5.291095181789147,0.3232439581710434,0.0
1945,1.8057962558614715,0.03448519092741165,0.0
1946,3.245549129404606,0.21742457848226757,0.0
1947,6.537306223113518,0.722397194657981,0.0
