year,95F,100F,105F,frac_land_covered
1895,9.35033159045093,2.0417822642478947,0.1651909599365524,0.8323868038350094
1896,12.643738193278233,2.695155749773983,0.19207375521095213,0.8562744460845747
1897,14.481564191870296,3.3482675965125264,0.389040378778258,0.9118576147107142
1898,12.371240203397877,2.853395732589755,0.22902114146032712,0.9078555202949896
1899,12.719554662030328,2.902208099465912,0.23053424571427683,0.9221151363026125
1900,14.816945337099956,3.7029224359980897,0.2508923790869984,0.9831747492780356
1901,14.433502294595053,3.589721712545809,0.34343703004590564,0.9377742220262719
1902,14.44335891260965,3.3778160401981343,0.3362887546053868,0.9376629412206746
1903,11.815392240074244,2.953147677819878,0.3791922851514986,0.9576422026196106
1904,11.718539927700448,2.8197068843498143,0.2971872010021786,0.9223697453532327
1905,13.958469233129982,3.3923332525629832,0.33468694999699894,0.9468933724965668
1906,12.561017623462183,3.463470885268594,0.5134482400506987,0.9429820667914041
1907,11.190802749794885,2.1269481027602075,0.2540694902829902,0.9271673156621769
1908,10.48033409959175,2.2173588045162846,0.19046952338693574,0.9778770936167237
1909,10.647960875594418,1.9413044290002253,0.18021241894415668,0.9732340639031072
1910,11.083939855754108,2.7212621350040744,0.2862104826702268,0.8951913499132437
1911,13.763022105231165,2.7740310155354773,0.12126948819003755,0.9400072503198447
1912,14.565577259923797,3.8262525128510823,0.6325154843369544,0.9937827900635013
1913,13.614560418856613,3.453489832672905,0.3940465311882929,0.9875078380323797
1914,15.249891700974413,3.407743769929398,0.3880337315048389,0.9088988241798512
1915,14.945446051560902,3.4667942199201764,0.5411702690157468,0.9869827981004791
1916,13.425008393521356,3.26069149731647,0.3075870466733739,0.9919659878092961
1917,9.97022786692597,2.2077554640264236,0.29178362194398494,0.9601761261042281
1918,11.836809281232537,2.0838781310327152,0.1631322243182093,0.9840055812557571
1919,12.461621531753044,2.919508307699486,0.33451434930221324,0.9718101684817849
1920,11.138561074329642,2.482443236164998,0.35436308581354414,0.9986928599238691
1921,11.75347327627087,2.5828918753452497,0.22442258685160535,0.9935026041698681
1922,13.289081711968095,3.214677163713739,0.39159558752557366,0.9810977742801885
1923,13.471647207105255,3.1595662005805503,0.33556152103579867,0.9959750245440897
1924,14.735867409837764,3.773066241354125,0.5661039039439181,0.9976567421502014
1925,13.725951081189523,3.1420868750727697,0.3307693341263141,1.0
1926,14.627801781967536,3.718510827346429,0.5070254057542061,0.9993080767035298
1927,13.587547796697683,3.1103730240090246,0.27667562334512824,1.0
1928,14.86201190435272,3.544246045531372,0.23759017368645866,1.0
1929,12.778548995696017,2.6149442734069934,0.13550578748345896,0.9842716993204161
1930,12.746261898357123,2.7516134753021233,0.26823335038514223,0.991042098801342
1931,14.77750930869748,4.0409120095131055,0.6382269618908393,1.0
1932,14.90290262916156,4.106699207560774,0.4822417891572093,1.0
1933,12.963750487969463,3.1853970233040254,0.37724025844241404,0.9973892973854026
1934,14.74652052716474,3.8914934177163594,0.4687522599535842,0.9928632970745178
1935,15.006717613561651,4.128923327413332,0.3663702296094246,1.0
1936,15.140556130398123,4.3252084508742294,0.4756491317255566,0.9997137073197528
1937,14.712984333038861,3.558225817820487,0.4722778707100607,0.9996776705452152
1938,14.560373624797167,3.910570278880084,0.3701534190608037,0.9987938494920354
1939,14.406489126475101,3.9315145308716315,0.7747421537395723,1.0
1940,14.339247669053591,3.2883930532920456,0.48465457879094914,1.0
1941,13.276564752906818,3.223862875268372,0.5111543264901948,0.9998122471240973
1942,13.74623442448303,3.179760497973634,0.3103502464874698,1.0
1943,14.487707471257206,3.7261204661841285,0.4107191258131697,1.0
1944,15.058380959503713,4.056204080012379,0.770904967715138,1.0
1945,14.659366941557172,4.023059085836277,0.6185159435500459,1.0
1946,13.972008425035561,2.998914214191826,0.38419331498701237,1.0
1947,14.786612444358628,4.347407126901552,0.7295218123642722,1.0
1948,15.023759736791176,3.9816810963826965,0.6959940248818479,1.0
1949,12.367109919505758,2.8671576072611953,0.4202155946529402,0.9988791153254891
1950,11.351910789941169,2.2618369130954807,0.25241442899135225,1.0
1951,16.1152293484707,4.039978920935778,0.5818856215807546,1.0
1952,17.248843602395308,5.214532340909532,0.6361300693976203,1.0
1953,14.713947308252992,3.4972467238861666,0.4891551733127904,1.0
1954,14.643751347295124,4.129048156015023,0.6753782802644461,1.0
1955,13.659481386487737,3.390014491552906,0.5916181517781062,1.0
1956,13.529242159471089,3.2728210070984898,0.34193801141688684,1.0
1957,14.580789611706567,3.2989197687206415,0.36860930091867383,1.0
1958,16.438211561081175,4.916789652403986,0.7479471059969245,1.0
1959,14.935652966579298,4.263574902539046,0.5676417501661094,1.0
1960,14.400082075372904,3.7264873486093983,0.7210109423673102,1.0
1961,15.037035504111548,4.268263605688859,0.635328724860846,1.0
1962,15.650325717921234,4.057704038240176,0.5971870213935874,1.0
1963,14.53092474611939,3.4994947228476723,0.46510988233013406,0.998831153403487
1964,13.571551681020834,3.574837356620809,0.34964969112613653,0.9998671507250058
1965,14.717741067906374,4.492858553911152,0.47420906533912766,1.0
1966,14.414927918598996,3.8156250857738585,0.5554024375423486,1.0
1967,11.694413708848385,3.192879621086279,0.4060118694088501,1.0
1968,13.336733816564246,3.443418542868197,0.4403240357306999,0.998831153403487
1969,15.607935883618914,3.895112025407912,0.33204829617337867,1.0
1970,15.287804941302156,4.840992803034772,0.7808233336842288,1.0
1971,13.134953587498659,3.5632632601066874,0.48278837241496747,1.0
1972,14.20536867284369,4.262441074167494,0.5457677514698899,1.0
1973,14.113308816189647,3.965219879850037,0.6154526388519985,1.0
1974,10.163685160078414,2.156207002546977,0.2690544315351847,1.0
1975,11.99487892334699,3.067568562737623,0.3130710170226551,1.0
1976,11.311717606781924,2.673152532691765,0.2801774221487533,1.0
1977,14.909079966625715,3.9885883201427106,0.7581214552420791,1.0
1978,14.50766016135827,3.364903253273286,0.4183528565615997,1.0
1979,15.666077199376968,4.512850071665541,0.7739386557703455,1.0
1980,18.542882904907316,5.116042047078804,0.7843340098601339,1.0
1981,14.129716222511368,3.436863405221949,0.510398437782723,1.0
1982,14.01271848526116,3.7087469829516064,0.4407785748165279,1.0
1983,17.08674050758728,5.504667099443873,0.8586162245622717,1.0
1984,12.999124665248566,3.3810402005844535,0.3678890594008322,1.0
1985,16.17966938734463,5.209264086328326,0.6590276145079398,1.0
1986,16.94497173760327,5.315929838517277,0.5653731673663953,1.0
1987,17.41821772548335,4.683239474736756,0.7157279319065588,1.0
1988,18.167090950060135,5.924673930520882,1.049007851526818,1.0
1989,16.271911454199497,4.646535441780943,0.3701807829388747,1.0
1990,18.40465990928759,5.750548548851145,0.8083515532400632,1.0
1991,15.38722101530163,4.173456786137161,0.5611889767337184,1.0
1992,14.620220492282794,4.256138743026627,0.4207463474314012,1.0
1993,16.076333059927016,4.183913926693263,0.6157348055780362,1.0
1994,15.98718066799571,4.879695673447828,0.6461318748525686,1.0
1995,16.922250213450766,4.426071653333241,0.7065786575020883,1.0
1996,17.58431212557755,5.528428390922753,0.8442763851579935,1.0
1997,16.065450806045693,4.104730751648812,0.7203381337638687,1.0
1998,21.771118935017228,7.033133028022244,1.4738397272478125,1.0
1999,16.99927320148182,5.17099799017672,1.0099746830003526,1.0
2000,14.858383312186254,4.448745815962091,0.7844634503223327,1.0
2001,17.939029874576512,5.344580984612732,1.0989426653538121,1.0
2002,20.141639610401256,6.019505841394621,1.0839133369069716,1.0
2003,18.722351787585183,5.381878462755246,0.9893980269382741,1.0
2004,17.127393969543565,5.136998743899404,0.8561146332785489,1.0
2005,21.103898555332893,7.020060869059803,1.3802790780112169,1.0
2006,19.26156706828702,5.971598038763611,1.086642575532525,1.0
2007,18.936562644662796,6.297237313976641,1.1823691492189194,1.0
2008,19.67426373447974,5.853427645864319,1.044976843994693,1.0
2009,19.678136051409755,6.0629125906126715,1.1054629378878869,1.0
2010,20.62347774032257,6.96605343768922,1.3638336100420778,1.0
2011,17.428873174938396,5.360239977134221,1.1072018955311183,1.0
2012,20.776669696030574,6.26253626627332,1.2069409164153495,1.0
2013,20.001235080169526,6.580772681537341,1.2649440519863528,1.0
2014,20.44316224053494,6.573550535967154,1.424973098023589,1.0
2015,22.52930033863506,7.2587266195550075,1.2291781365406602,1.0
2016,21.83119258061765,7.055129226812608,1.2349927543259465,1.0
2017,20.952239198320715,6.632495955306823,1.4421830837084075,1.0
2018,21.49700349258553,7.223932779781366,1.4946787053151587,1.0
2019,25.578892227041624,10.668232598331501,2.7876257969793876,1.0
2020,22.525369773476626,7.14776281887051,1.2328924581988485,1.0
2021,21.509063405175745,7.455974119206032,1.72333602921598,1.0
2022,21.19586062465848,7.026639171605854,1.3369728913606895,1.0
